tick,frames,seconds,fps,ticks,step_ms,shell_ms,render_cpu_ms,gpu_ms,probe,process_cpu_ms,busy_frames,threaded,route_workers
600,128,1.007126,127.094,0,0.0000,843.0283,0.5482,4.8985,baseline,1069.0390,0,True,1
600,130,1.002273,129.705,0,0.0000,846.0520,0.5153,4.8366,baseline,1064.7270,0,True,1
600,130,1.004138,129.464,0,0.0000,846.6129,0.5222,4.8301,baseline,1066.4430,0,True,1
600,127,1.000324,126.959,0,0.0000,838.2997,0.5510,4.8860,baseline,1065.9950,0,True,1
600,127,1.002900,126.633,0,0.0000,837.7584,0.5533,4.9097,baseline,1064.3070,0,True,1
600,127,1.001026,126.870,0,0.0000,840.2654,0.5378,4.8405,baseline,1060.0110,0,True,1
600,123,2.622741,46.898,0,0.0000,2460.9479,0.5674,4.8901,baseline,2715.1980,0,True,1
600,4,2.365864,1.691,0,0.0000,1974.0918,5.3907,5.0285,baseline,2497.4300,0,True,1
600,131,1.009895,129.717,0,0.0000,865.5324,0.4185,4.9628,baseline,1077.3430,0,True,1
600,128,1.009360,126.813,0,0.0000,860.1650,0.4340,4.9672,baseline,1071.3100,0,True,1
600,132,1.005838,131.234,0,0.0000,866.1537,0.3943,4.9655,baseline,1066.6840,0,True,1
600,130,1.003730,129.517,0,0.0000,859.5017,0.4166,4.9728,baseline,1067.5790,0,True,1
600,132,1.000522,131.931,0,0.0000,863.5596,0.3866,4.9633,baseline,1061.1320,0,True,1
600,131,1.001520,130.801,0,0.0000,864.1755,0.3888,4.9960,baseline,1061.5170,0,True,1
600,132,1.006009,131.212,0,0.0000,865.8854,0.3975,4.9977,baseline,1068.5330,0,True,1
600,132,1.006336,131.169,0,0.0000,867.6774,0.3941,4.9795,baseline,1067.1690,0,True,1
600,131,1.003072,130.599,0,0.0000,864.9070,0.3956,4.9785,baseline,1063.0830,0,True,1
600,126,1.000813,125.898,0,0.0000,854.9958,0.4323,4.9851,baseline,1061.1860,0,True,1
600,131,1.004842,130.369,0,0.0000,868.8540,0.3840,4.9846,baseline,1067.1020,0,True,1
600,126,2.595910,48.538,0,0.0000,2463.2821,0.3913,4.9907,baseline,2690.9210,0,True,1
600,4,2.641674,1.514,0,0.0000,2112.1954,5.1598,5.1072,baseline,3092.4760,0,True,1
600,132,1.009624,130.742,0,0.0000,860.6305,0.4513,4.5442,baseline,1076.3540,0,True,1
600,131,1.001529,130.800,0,0.0000,854.2275,0.4382,4.5524,baseline,1065.6180,0,True,1
600,129,1.000050,128.994,0,0.0000,849.2706,0.4562,4.5711,baseline,1064.4360,0,True,1
600,130,1.000319,129.959,0,0.0000,851.6939,0.4442,4.5604,baseline,1062.3410,0,True,1
600,131,1.001288,130.831,0,0.0000,854.9130,0.4380,4.5612,baseline,1064.4830,0,True,1
600,132,1.005272,131.308,0,0.0000,858.1108,0.4357,4.5584,baseline,1069.2390,0,True,1
600,128,1.001374,127.824,0,0.0000,859.3242,0.4332,4.5666,baseline,1066.9030,0,True,1
600,131,1.006551,130.147,0,0.0000,858.6696,0.4391,4.5666,baseline,1069.2640,0,True,1
600,126,1.002601,125.673,0,0.0000,841.8541,0.4983,4.5907,baseline,1068.5040,0,True,1
600,128,1.005632,127.283,0,0.0000,852.2180,0.4717,4.5945,baseline,1071.8280,0,True,1
600,126,1.001568,125.803,0,0.0000,844.9227,0.4819,4.5723,baseline,1066.5110,0,True,1
600,123,2.632616,46.722,0,0.0000,2472.7166,0.4964,4.5580,baseline,2727.8190,0,True,1
600,4,2.449793,1.633,0,0.0000,2060.1873,5.0792,4.5822,shadows-off,2742.1730,0,True,1
600,130,1.002621,129.660,0,0.0000,858.9923,0.3952,3.5645,shadows-off,1038.1870,0,True,1
600,129,1.000000,129.000,0,0.0000,854.7630,0.3970,3.1551,shadows-off,1038.5600,0,True,1
600,130,1.006676,129.138,0,0.0000,865.2387,0.3788,3.1666,shadows-off,1043.2050,0,True,1
600,127,1.007066,126.109,0,0.0000,856.4720,0.4155,3.1442,shadows-off,1045.0970,0,True,1
600,127,1.003853,126.513,0,0.0000,850.5341,0.4257,3.1641,shadows-off,1042.2050,0,True,1
600,121,1.005557,120.331,0,0.0000,843.2768,0.4847,3.1511,shadows-off,1044.6130,0,True,1
600,122,1.006994,121.153,0,0.0000,841.4265,0.4897,3.1317,shadows-off,1046.2040,0,True,1
600,122,1.007215,121.126,0,0.0000,842.4636,0.4856,3.1598,shadows-off,1049.1840,0,True,1
600,119,1.001677,118.801,0,0.0000,832.5374,0.5148,3.1334,shadows-off,1042.1120,0,True,1
600,112,1.007820,111.131,0,0.0000,836.9343,0.5578,3.1395,shadows-off,1054.7940,0,True,1
600,109,1.006189,108.330,0,0.0000,833.6841,0.5686,3.1561,shadows-off,1047.5150,0,True,1
600,114,3.602306,31.646,0,0.0000,3439.2532,0.5135,3.1782,shadows-off,3553.0030,0,True,1
600,4,2.765060,1.447,0,0.0000,2305.2283,6.1405,3.7638,baseline,2866.8440,0,True,1
600,127,1.005476,126.308,0,0.0000,843.8115,0.5358,5.1452,baseline,1073.4290,0,True,1
600,128,1.002505,127.680,0,0.0000,844.4643,0.5132,5.1730,baseline,1063.5830,0,True,1
600,129,1.002679,128.655,0,0.0000,847.7303,0.5007,5.1215,baseline,1062.4530,0,True,1
600,128,1.001560,127.801,0,0.0000,843.2726,0.5154,5.1407,baseline,1063.6490,0,True,1
600,126,1.000026,125.997,0,0.0000,837.9387,0.5314,5.1437,baseline,1063.0980,0,True,1
600,122,1.001486,121.819,0,0.0000,816.5122,0.6310,5.1597,baseline,1063.9830,0,True,1
600,119,1.003769,118.553,0,0.0000,816.0837,0.6623,5.2217,baseline,1069.7450,0,True,1
